symbol,split,variant,config_id,trades,win_rate,expectancy_r,profit_factor,max_drawdown_r,total_r
ETHUSDT,development,bullish_engulfing,29,14,0.35714285714285715,0.40014802070999295,1.622452476659989,-3.077667679980932,5.602072289939901
BTCUSDT,development,bullish_engulfing,30,9,0.3333333333333333,0.2850726903791977,1.4276090355687967,-2.9999999999999982,2.5656542134127793
ETHUSDT,development,bullish_engulfing,30,9,0.3333333333333333,0.30609358015427335,1.4591403702314103,-3.0822804404898942,2.75484222138846
BTCUSDT,development,bullish_engulfing,31,9,0.3333333333333333,0.2901452258454157,1.4352178387681231,-2.999999999999998,2.611307032608741
ETHUSDT,development,bullish_engulfing,31,9,0.3333333333333333,0.3078777336680192,1.4618166005020288,-3.077667679980938,2.7708996030121726
BTCUSDT,development,sweep_reclaim,0,8,0.25,-0.029664346686208765,0.9604475377517216,-4.000000000000003,-0.23731477348967012
ETHUSDT,development,sweep_reclaim,0,8,0.375,0.4471884588313073,1.715501534130092,-1.9999999999999987,3.5775076706504585
BTCUSDT,development,sweep_reclaim,1,8,0.25,-0.026581383534415914,0.9645581552874454,-4.0,-0.21265106827532732
ETHUSDT,development,sweep_reclaim,1,8,0.375,0.4524227454585046,1.7238763927336076,-1.9999999999999982,3.6193819636680367
BTCUSDT,development,sweep_reclaim,2,4,0.5,0.9406713066275827,2.8813426132551645,-2.000000000000001,3.7626852265103308
ETHUSDT,development,sweep_reclaim,2,3,0.3333333333333333,0.2987883624214231,1.4481825436321352,-1.9999999999999982,0.8963650872642693
BTCUSDT,development,sweep_reclaim,3,4,0.5,0.9468372329311685,2.8936744658623366,-2.0000000000000018,3.787348931724674
ETHUSDT,development,sweep_reclaim,3,3,0.3333333333333333,0.30122368860623744,1.4518355329093562,-2.0,0.9036710658187124
BTCUSDT,development,sweep_reclaim,4,12,0.3333333333333333,0.29498366271983273,1.4424754940797486,-4.050328562542816,3.5398039526379925
ETHUSDT,development,sweep_reclaim,4,13,0.23076923076923078,-0.10942248687304151,0.857750767065046,-4.000000000000002,-1.4224923293495397
BTCUSDT,development,sweep_reclaim,5,12,0.3333333333333333,0.2987067030410353,1.4480600545615532,-4.0486373034893255,3.5844804364924236
